pred_label,title,description,postDate
경제,국민은행 '지역재투자 평가' 금융위원장 표창 수상,포쓰저널 박소연 기자 KB국민은행 신관/사진=KB국민은행 KB국민은행은 27일 금융위원회가 주관하는 '2025년도 금융회사 지역재투자 평가'에서 최우수 등급에 선정되며 시중은행 부문 금융위원장 표창을 수상했다고 28일...,2025-08-28 17:26:00
경제,"전북은행, 지역재투자 평가에서 지방은행 중 1위 기록...'금융감독원장...",JB금융그룹 전북은행이 금융위원회가 실시하는 2025년 금융회사 지역재투자 평가에서 또 한 번 종합 최우수 등급으로 지방은행 중 총점 1위를 기록하며 금융감독원장 표창을 수상했다. 이는 지역과의 상생금융 실천과...,2025-08-28 19:14:00
사회,"전주완산소방서, 소화기로 화재 초기 진압한 시민·경찰, 소방서장 표창...",1명에게 표창을 수여했다. 전주완산소방서(서장 박덕규)가 28일 화재 현장에서 신속한 초기 대응으로 큰 피해를 막은 시민 4명과 전주완산경찰서 소속 경찰공무원 1명에게 표창을 수여했다. 이들은 지난 2일 효자동...,2025-08-28 18:44:00
사회,"화순어린이집연합회, 보육교직원 힐링워크숍","워크숍에는 어린이집 보육 교직원 200여명이 참석했으며 보육 유공자 7명이 화순군수 표창 등을 수상했다. 참가자들은 플루트 연주, DJ 공연, 댄스팀 공연 등 다양한 프로그램을 통해 보육 교직원과 소통하며 스트레스를...",2025-08-28 18:50:00
사회,"제천시보건소, 감염병 예방관리 업무 평가 우수기관 표창 수상",［동양일보 윤규상 기자］ 제천시보건소(소장 안순덕)가 충북도 주관한 '2025년 감염병 예방관리 업무 평가'에서 우수기관 표창을 수상했다. 이번 수상은 대규모 국제행사인 2025 아시아 기계체조선수권대회와 아시아...,2025-08-28 19:28:00
사회,[알림] 7회 다산의정대상 수상자 21명 확정,"중부일보는경기·인천지역의 풀뿌리 정치인들을 찾아 1천700만 수도권 주민의 이름으로 표창하는제7회 다산의정대상 수상자를 확정했습니다. 다산의정대상은 경인지역 광역정치부문,기초정치 부문에서 21명이 수상의...",2025-08-28 19:56:00
사회,"서광학 선우엔지니어링대표이사, 국토부장관 표창",대한기계설비건설협회 울산시·경남도회는 울산지역 기계설비사인 (주)선우엔지니어링 서광학(사진)대표이사가 지난 27일 서울 강남구 건설회관에서 열린 '2025 건설의 날 기념행사'에서 국토부장관 표창을 받았다고 28일...,2025-08-28 22:12:00
사회,"[위클리오늘] 부산 북구, 2025년 상반기 적극행정 우수공무원 5명 선정","이번 우수공무원은 적극행정위원회의 심의를 거쳐 우수 2명, 장려 3명이 선정됐으며, 이들에게는 구청장 표창과 함께 근무성적평정 실적 가점, 포상휴가 등의 다양한 혜택이 주어진다. 선발된 북구 상반기 적극행정...",2025-08-28 23:46:00
사회,"한국 어업인 3인방, '바다의 의인상'으로 국제적 영예",국내 어업인들이 해양 사고에서 인명을 구한 공로로 국제적으로 인정받아 '바다의 의인상'을 수상했다.... 이번 수상은 한국 어업인들의 용기와 헌신이 국제적으로 인정받았다는 점에서 큰 의미가 있다. 세종...,2025-08-28 00:02:00
사회,"호원대 인당도서관, 한국교육학술정보원 '최우수상'",한국교육학술정보원장상을 수상했다./호원대 | 한스경제=이인호 기자 | 호원대학교 인당도서관이 27일... 한국교육학술정보원장상을 수상했다. 한국교육학술정보원(KERIS)은 전국 대학도서관과 협력해...,2025-08-28 07:26:00
사회,"화성소방서, 화재조사 학술논문 발표대회 최우수상 수상","화성소방서 화재조사 학술논문 발표대회 최우수상 수상 (사진=화성소방서 제공) 매일일보 = 한철희 기자  |  화성소방서는 지난 26일, 경기도소방학교 세미나실에서 열린 2025년도 화재조사 학술논문 발표대회에서...",2025-08-28 08:26:00
사회,"국립한국해양대, '2025 국제해양법 모의재판대회' 수상","우수변론가상을 수상하는 등 뛰어난 성과를 거두었다고 밝혔다. 지난 8월 22일 고려대학교 신법학관에서 열린... 부상으로 고려대학교 법학전문대학원장상을 수상했다. 특히, 개인 변론에서 가장 뛰어난 역량을 보인...",2025-08-28 09:24:00
사회,배움의 감동을 시화로...부천시 문해학습자 20명 수상,시화 부문 최우수상(경기도교육감상) 수상작인 신순자 어르신의 '가슴 뻥 뚫린 날' / 부천시청 부천시는 7월 개최된 '2025년 경기도 성인문해교육 시화전'에서 관내 문해학습자 20명이 수상의 영예를 안았다고 28일 밝혔다....,2025-08-28 10:25:00
사회,"정길모 대표, 건설의 날 국토부장관 표창",국토부장관 표창을 받았다. 정 대표는 42년간 건설산업에 종사하며 철저한 품질 관리와 성실 시공으로 여러... 앞서 정 대표는 지역건설산업 발전·하도급 업체와의 상생협력 공로로 울산시장 표창을 받기도 했다.,2025-08-28 00:02:00
사회,"이성수 전건협 경기도회장, ‘건설의 날’ 은탑산업훈장 수상",같은 날 이용석 신화건설 대표와 강신도 네오리폼 대표도 국토교통부 장관상을 수상해 경기지역 전문건설업계의 위상을 높였다. 이성수 회장은 1993년 전문건설업체 대표로 취임한 이후 32년간 업계에 몸담아 왔다. 상...,2025-08-28 15:16:00
사회,"광주전남병무청, 장수혁 사회복무요원 표창",광주전남병무청은 최근 폭우 피해 복구 현장에서 헌신적인 태도를 보인 장수혁 사회복무요원에게 표창장을 수여했다고 28일 밝혔다. 김미옥 청장 직무대리는 광주시장애인종합복지관을 방문해 장 사회복무요원의...,2025-08-28 18:34:00
